Timepoint,Time,SocketID,Time,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSentUnique,pktSndLoss,pktSndDrop,pktRetrans,pktSndFilterExtra,byteSent,byteSentUnique,byteSndDrop,byteAvailSndBuf,msSndBuf,mbpsSendRate,usPktSndPeriod,pktRecv,pktRecvUnique,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss,byteRecv,byteRecvUnique,byteRcvLoss,byteRcvDrop,byteAvailRcvBuf,msRcvBuf,mbpsRecvRate,msRcvTsbPdDelay
2026-02-01T17:59:48.429158+0400,228234,42945640,228234,8147,8192,32,67.013,412.692,1000,5841,4987,1420,0,854,0,7739028,6587928,0,0,0,6.42072,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T17:59:58.269228+0400,238075,42945640,238075,8120,8192,11,67.348,753.588,1000,5808,5019,1351,0,789,0,7679484,6619040,0,5035500,51,6.24344,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:00:07.800193+0400,247605,42945640,247605,8115,8192,22,68.06,409.956,1000,5526,5014,861,0,512,0,7305740,6617128,0,5037000,47,6.13223,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:00:17.333624+0400,257139,42945640,257139,8148,8192,39,67.763,471.444,1000,5510,4985,835,0,525,0,7299208,6593480,0,0,0,6.12523,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:00:27.111926+0400,266917,42945640,266917,8100,8192,1,67.044,203.568,1000,5922,5012,1613,0,910,0,7846180,6622868,0,5032500,43,6.41916,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:00:36.701162+0400,276506,42945640,276506,8145,8192,25,67.118,506.76,1000,6580,5006,2686,0,1574,0,8742188,6619972,0,5005500,67,7.29334,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:00:46.426812+0400,286232,42945640,286232,8138,8192,14,66.913,860.964,1000,6051,4935,1908,0,1116,0,8026884,6521908,0,5037000,38,6.60264,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:00:56.115856+0400,295921,42945640,295921,8136,8192,3,66.967,544.404,1000,6033,5052,1688,0,981,0,8012556,6684976,0,5035500,46,6.61577,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:01:05.798287+0400,305604,42945640,305604,8139,8192,3,67.026,87.552,1000,5877,5008,1491,0,869,0,7781784,6611788,0,5026500,45,6.42964,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:01:15.432229+0400,315237,42945640,315237,8129,8192,14,67.926,469.896,1000,6057,4935,1931,0,1122,0,8027712,6514200,0,0,0,6.66619,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:01:25.021747+0400,324827,42945640,324827,8135,8192,39,67.194,725.088,1000,6223,5057,2055,0,1166,0,8266444,6694596,0,5025000,50,6.89621,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:01:34.658577+0400,334464,42945640,334464,8140,8192,181,67.295,756.18,1000,6253,5015,2245,0,1238,0,8299536,6626948,0,5011500,57,6.88989,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:01:44.523795+0400,344329,42945640,344329,8112,8192,19,66.996,871.548,1000,6134,4961,1963,0,1173,0,8145968,6559148,0,0,0,6.60581,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:01:54.017284+0400,353823,42945640,353823,8144,8192,44,66.848,373.26,1000,5904,5021,1451,0,883,0,7832228,6643568,0,0,0,6.60004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:02:03.703232+0400,363509,42945640,363509,8138,8192,15,67.346,766.716,1000,6111,4996,1773,0,1115,0,8102844,6601672,0,5023500,50,6.69245,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:02:13.435002+0400,373240,42945640,373240,8133,8192,28,67.05,412.8,1000,6181,4972,1981,0,1209,0,8202368,6571664,0,0,0,6.74276,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:02:23.026555+0400,382832,42945640,382832,8137,8192,53,67.387,321.06,1000,6233,5042,2151,0,1191,0,8276284,6669684,0,0,0,6.903,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:02:32.616169+0400,392421,42945640,392421,8057,8192,33,67.062,63.024,1000,5812,4995,1412,0,817,0,7696580,6595612,0,5026500,51,6.42075,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:02:42.436480+0400,402242,42945640,402242,8132,8192,6,66.765,762.612,1000,5985,4968,1716,0,1017,0,7936372,6563404,0,0,0,6.46528,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
2026-02-01T18:02:52.021552+0400,411827,42945640,411827,8160,8192,34,67.043,1501.94,1000,6261,5038,2045,0,1223,0,8310228,6662928,0,5034000,44,6.93597,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:01.708909+0400,421514,42945640,421514,8134,8192,2,67.806,188.256,1000,6174,4982,2027,0,1192,0,8202248,6595792,0,5025000,52,6.77357,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:11.419218+0400,431224,42945640,431224,8149,8192,67,67.093,830.28,1000,6132,4993,1911,0,1139,0,8137984,6597216,0,5035500,40,6.70462,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:21.187325+0400,440993,42945640,440993,8128,8192,3,66.921,728.676,1000,6585,5027,2574,0,1558,0,8752372,6646464,0,5037000,51,7.16812,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:30.705631+0400,450511,42945640,450511,8166,8192,16,66.885,118.02,1000,6205,4993,2055,0,1212,0,8233316,6602292,0,5026500,45,6.91998,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:40.426113+0400,460231,42945640,460231,8140,8192,57,66.905,198.312,1000,6173,5002,2125,0,1171,0,8193932,6614156,0,5031000,50,6.74368,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:50.094934+0400,469900,42945640,469900,8141,8192,29,67.283,489.096,1000,6292,5002,2171,0,1290,0,8338852,6598364,0,5026500,52,6.89959,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:03:59.714363+0400,479520,42945640,479520,8135,8192,5,67.335,292.284,1000,6105,4995,1882,0,1110,0,8096940,6598996,0,5026500,47,6.73378,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:04:09.466383+0400,489272,42945640,489272,8127,8192,9,67.421,300.036,1000,5935,4974,1638,0,961,0,7876456,6580964,0,5044500,42,6.4614,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:04:19.054195+0400,498859,42945640,498859,8153,8192,22,67.057,726.24,1000,6167,5035,1952,0,1132,0,8178816,6653396,0,5029500,46,6.82434,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:04:28.779741+0400,508585,42945640,508585,8151,8192,35,66.801,1091.76,1000,5410,5002,589,0,408,0,7157756,6609832,0,5037000,52,5.8878,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:04:38.251989+0400,518057,42945640,518057,8161,8192,136,66.942,320.376,1000,5686,4993,1056,0,693,0,7525408,6598532,0,5035500,46,6.35575,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
2026-02-01T18:04:48.033186+0400,527838,42945640,527838,8109,8192,8,67.528,791.256,1000,6073,4993,1821,0,1080,0,8045148,6589696,0,5031000,48,6.58009,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12286500,0,0,120
